,dt,dt_iso,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,rain_1h,clouds_all,weather_description,Data,Hora,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh),Inj_code
5477,1652590800,2022-05-15 05:00:00 +0000 UTC,16.23,16.02,15.34,16.26,1012,81,5.49,0.23,89,light rain,2022-05-15,5,0.0,0.424,0.0,None,3
5494,1652652000,2022-05-15 22:00:00 +0000 UTC,16.81,16.77,16.12,16.82,1017,85,4.45,0.895706,95,overcast clouds,2022-05-15,22,0.0,0.595,0.0,None,3
5495,1652655600,2022-05-15 23:00:00 +0000 UTC,16.81,16.71,16.45,16.82,1017,83,5.01,0.895706,100,overcast clouds,2022-05-15,23,0.0,0.557,0.0,None,3
5496,1652659200,2022-05-16 00:00:00 +0000 UTC,16.82,16.75,16.68,16.82,1017,84,5.28,0.895706,100,overcast clouds,2022-05-16,0,0.0,1.13,0.0,None,3
5497,1652662800,2022-05-16 01:00:00 +0000 UTC,16.81,16.74,16.21,16.82,1017,84,5.61,0.14,100,light rain,2022-05-16,1,0.0,0.609,0.0,None,3
5498,1652666400,2022-05-16 02:00:00 +0000 UTC,16.75,16.6,14.79,16.82,1017,81,5.25,0.52,100,light rain,2022-05-16,2,0.0,0.588,0.0,None,3
5499,1652670000,2022-05-16 03:00:00 +0000 UTC,16.75,16.57,14.79,16.82,1017,80,4.35,0.6,100,light rain,2022-05-16,3,0.0,0.479,0.0,None,3
5500,1652673600,2022-05-16 04:00:00 +0000 UTC,16.75,16.52,14.79,16.82,1017,78,3.63,1.01,100,moderate rain,2022-05-16,4,0.0,0.442,0.0,None,3
5501,1652677200,2022-05-16 05:00:00 +0000 UTC,16.78,16.58,15.72,16.82,1017,79,3.46,0.75,100,light rain,2022-05-16,5,0.0,0.539,0.0,None,3
5502,1652680800,2022-05-16 06:00:00 +0000 UTC,16.72,16.54,14.79,16.82,1017,80,3.43,0.58,100,light rain,2022-05-16,6,0.0,0.477,0.0,None,3
5518,1652738400,2022-05-16 22:00:00 +0000 UTC,16.82,16.86,16.72,17.33,1020,88,3.6,0.895706,65,broken clouds,2022-05-16,22,0.0,0.446,0.0,None,3
5519,1652742000,2022-05-16 23:00:00 +0000 UTC,16.87,16.91,15.34,17.72,1020,88,3.68,0.895706,79,broken clouds,2022-05-16,23,0.0,0.88,0.0,None,3
5520,1652745600,2022-05-17 00:00:00 +0000 UTC,17.38,17.47,17.23,17.72,1019,88,4.08,0.895706,100,overcast clouds,2022-05-17,0,0.0,1.071,0.0,None,3
5521,1652749200,2022-05-17 01:00:00 +0000 UTC,17.38,17.45,17.23,17.72,1019,87,4.23,0.895706,100,overcast clouds,2022-05-17,1,0.0,0.47,0.0,None,3
5522,1652752800,2022-05-17 02:00:00 +0000 UTC,16.82,16.83,16.68,16.82,1019,87,4.29,0.895706,100,overcast clouds,2022-05-17,2,0.0,0.274,0.0,None,3
5523,1652756400,2022-05-17 03:00:00 +0000 UTC,16.82,16.88,16.68,16.82,1018,89,4.26,0.895706,100,overcast clouds,2022-05-17,3,0.0,0.267,0.0,None,3
5524,1652760000,2022-05-17 04:00:00 +0000 UTC,16.82,16.86,16.68,16.82,1018,88,4.38,0.895706,99,overcast clouds,2022-05-17,4,0.0,0.267,0.0,None,3
5525,1652763600,2022-05-17 05:00:00 +0000 UTC,16.26,16.34,16.21,16.68,1018,92,4.22,0.895706,100,overcast clouds,2022-05-17,5,0.0,0.258,0.0,None,3
5526,1652767200,2022-05-17 06:00:00 +0000 UTC,16.87,16.99,16.77,17.72,1019,91,4.53,0.895706,100,overcast clouds,2022-05-17,6,0.0,0.573,0.0,None,3
5542,1652824800,2022-05-17 22:00:00 +0000 UTC,17.85,18.01,16.68,17.93,1020,89,1.46,0.895706,92,overcast clouds,2022-05-17,22,0.0,0.529,0.0,None,3
5543,1652828400,2022-05-17 23:00:00 +0000 UTC,17.8,17.99,15.72,17.93,1019,90,1.19,0.895706,95,overcast clouds,2022-05-17,23,0.0,0.627,0.0,None,3
5544,1652832000,2022-05-18 00:00:00 +0000 UTC,17.33,17.49,15.9,17.37,1019,91,1.17,0.895706,100,overcast clouds,2022-05-18,0,0.0,0.539,0.0,None,3
5545,1652835600,2022-05-18 01:00:00 +0000 UTC,16.83,16.97,15.34,17.32,1019,92,1.44,0.895706,100,overcast clouds,2022-05-18,1,0.0,0.558,0.0,None,3
5546,1652839200,2022-05-18 02:00:00 +0000 UTC,16.82,16.99,16.12,16.82,1018,93,0.91,0.895706,100,overcast clouds,2022-05-18,2,0.0,0.333,0.0,None,3
5547,1652842800,2022-05-18 03:00:00 +0000 UTC,16.25,16.36,15.72,16.77,1018,93,0.71,0.895706,100,overcast clouds,2022-05-18,3,0.0,0.27,0.0,None,3
5548,1652846400,2022-05-18 04:00:00 +0000 UTC,16.25,16.38,15.72,16.77,1018,94,0.81,0.895706,100,overcast clouds,2022-05-18,4,0.0,0.323,0.0,None,3
5549,1652850000,2022-05-18 05:00:00 +0000 UTC,15.71,15.79,15.57,16.77,1018,94,0.73,0.895706,100,overcast clouds,2022-05-18,5,0.0,0.337,0.0,None,3
5566,1652911200,2022-05-18 22:00:00 +0000 UTC,14.27,14.1,13.72,15.9,1019,90,1.32,0.895706,55,broken clouds,2022-05-18,22,0.0,0.531,0.0,None,3
5567,1652914800,2022-05-18 23:00:00 +0000 UTC,13.42,13.22,12.72,15.34,1019,92,1.16,0.895706,62,broken clouds,2022-05-18,23,0.0,0.619,0.0,None,3
5568,1652918400,2022-05-19 00:00:00 +0000 UTC,14.48,14.18,12.72,14.79,1019,84,0.97,0.895706,53,broken clouds,2022-05-19,0,0.0,0.432,0.0,None,3
5569,1652922000,2022-05-19 01:00:00 +0000 UTC,13.88,13.57,10.72,14.23,1019,86,1.02,0.895706,44,scattered clouds,2022-05-19,1,0.0,0.37,0.0,None,3
5570,1652925600,2022-05-19 02:00:00 +0000 UTC,13.34,12.95,10.72,13.68,1019,85,0.99,0.895706,61,broken clouds,2022-05-19,2,0.0,0.363,0.0,None,3
5571,1652929200,2022-05-19 03:00:00 +0000 UTC,12.8,12.46,10.72,13.12,1019,89,1.3,0.895706,68,broken clouds,2022-05-19,3,0.0,0.366,0.0,None,3
5572,1652932800,2022-05-19 04:00:00 +0000 UTC,12.9,12.6,11.68,12.93,1019,90,1.62,0.895706,75,broken clouds,2022-05-19,4,0.0,0.36,0.0,None,3
5573,1652936400,2022-05-19 05:00:00 +0000 UTC,12.2,11.83,9.72,12.37,1018,90,1.35,0.895706,61,broken clouds,2022-05-19,5,0.0,0.425,0.0,None,3
5590,1652997600,2022-05-19 22:00:00 +0000 UTC,16.7,16.38,14.72,18.12,1018,75,1.29,0.895706,100,overcast clouds,2022-05-19,22,0.0,0.859,0.0,None,3
5591,1653001200,2022-05-19 23:00:00 +0000 UTC,16.18,15.92,14.45,17.01,1019,79,1.4,0.895706,100,overcast clouds,2022-05-19,23,0.0,0.585,0.0,None,3
5592,1653004800,2022-05-20 00:00:00 +0000 UTC,16.16,15.87,14.45,16.45,1019,78,0.62,0.895706,72,broken clouds,2022-05-20,0,0.0,0.505,0.0,None,3
5593,1653008400,2022-05-20 01:00:00 +0000 UTC,15.14,14.93,13.9,15.9,1018,85,1.21,0.895706,100,overcast clouds,2022-05-20,1,0.0,0.336,0.0,None,3
5594,1653012000,2022-05-20 02:00:00 +0000 UTC,15.58,15.36,13.72,15.7,1018,83,1.38,0.895706,98,overcast clouds,2022-05-20,2,0.0,0.28,0.0,None,3
5595,1653015600,2022-05-20 03:00:00 +0000 UTC,15.01,14.76,12.72,15.15,1018,84,1.39,0.895706,98,overcast clouds,2022-05-20,3,0.0,0.31,0.0,None,3
5596,1653019200,2022-05-20 04:00:00 +0000 UTC,14.5,14.28,12.72,14.59,1018,87,1.54,0.895706,98,overcast clouds,2022-05-20,4,0.0,0.371,0.0,None,3
5597,1653022800,2022-05-20 05:00:00 +0000 UTC,15.41,15.2,10.72,15.7,1018,84,1.55,0.895706,94,overcast clouds,2022-05-20,5,0.0,0.321,0.0,None,3
5614,1653084000,2022-05-20 22:00:00 +0000 UTC,23.75,24.11,22.72,25.57,1014,74,2.51,0.895706,100,overcast clouds,2022-05-20,22,0.0,0.502,0.0,None,3
5615,1653087600,2022-05-20 23:00:00 +0000 UTC,23.64,23.89,22.72,25.67,1014,70,2.55,0.895706,100,overcast clouds,2022-05-20,23,0.0,0.505,0.0,None,3
5616,1653091200,2022-05-21 00:00:00 +0000 UTC,23.21,23.28,22.72,26.12,1013,65,2.4,0.895706,100,overcast clouds,2022-05-21,0,0.0,0.491,0.0,None,3
5617,1653094800,2022-05-21 01:00:00 +0000 UTC,21.76,21.74,20.72,24.45,1012,67,2.53,0.895706,100,overcast clouds,2022-05-21,1,0.0,0.473,0.0,None,3
5618,1653098400,2022-05-21 02:00:00 +0000 UTC,23.21,23.36,22.01,26.12,1012,68,2.74,0.895706,83,broken clouds,2022-05-21,2,0.0,0.545,0.0,None,3
5619,1653102000,2022-05-21 03:00:00 +0000 UTC,22.15,22.22,21.49,22.93,1012,69,2.55,0.895706,60,broken clouds,2022-05-21,3,0.0,0.497,0.0,None,3
5620,1653105600,2022-05-21 04:00:00 +0000 UTC,22.42,22.62,21.77,23.34,1012,73,2.36,0.895706,41,scattered clouds,2022-05-21,4,0.0,0.505,0.0,None,3
5621,1653109200,2022-05-21 05:00:00 +0000 UTC,22.75,23.04,20.34,23.72,1012,75,2.42,0.895706,85,overcast clouds,2022-05-21,5,0.0,0.281,0.0,None,3
5638,1653170400,2022-05-21 22:00:00 +0000 UTC,18.36,18.65,16.68,19.23,1014,92,1.62,1.06,43,moderate rain,2022-05-21,22,0.0,0.596,0.0,None,3
5639,1653174000,2022-05-21 23:00:00 +0000 UTC,17.35,17.57,16.68,18.12,1014,93,2.06,0.15,58,light rain,2022-05-21,23,0.0,1.108,0.0,None,3
5640,1653177600,2022-05-22 00:00:00 +0000 UTC,16.83,17.0,16.68,17.57,1014,93,2.17,0.56,48,light rain,2022-05-22,0,0.0,1.187,0.0,None,3
5641,1653181200,2022-05-22 01:00:00 +0000 UTC,16.83,17.0,16.12,18.12,1013,93,1.16,0.31,50,light rain,2022-05-22,1,0.0,0.576,0.0,None,3
5642,1653184800,2022-05-22 02:00:00 +0000 UTC,16.31,16.42,16.12,17.57,1012,93,1.19,0.55,58,light rain,2022-05-22,2,0.0,0.591,0.0,None,3
5643,1653188400,2022-05-22 03:00:00 +0000 UTC,16.29,16.43,16.12,17.01,1013,94,1.98,0.35,85,light rain,2022-05-22,3,0.0,0.448,0.0,None,3
5644,1653192000,2022-05-22 04:00:00 +0000 UTC,16.29,16.43,16.12,17.01,1013,94,1.59,0.13,94,light rain,2022-05-22,4,0.0,0.461,0.0,None,3
5645,1653195600,2022-05-22 05:00:00 +0000 UTC,16.29,16.43,15.57,16.77,1013,94,0.84,0.895706,99,overcast clouds,2022-05-22,5,0.0,0.345,0.0,None,3
5646,1653199200,2022-05-22 06:00:00 +0000 UTC,16.28,16.42,16.21,16.72,1013,94,0.67,0.895706,100,overcast clouds,2022-05-22,6,0.0,0.264,0.0,None,3
5662,1653256800,2022-05-22 22:00:00 +0000 UTC,16.77,16.9,15.57,17.32,1017,92,1.95,0.895706,94,overcast clouds,2022-05-22,22,0.0,0.488,0.0,None,3
5663,1653260400,2022-05-22 23:00:00 +0000 UTC,16.23,16.34,15.57,16.45,1017,93,2.01,0.895706,98,overcast clouds,2022-05-22,23,0.0,0.491,0.0,None,3
5664,1653264000,2022-05-23 00:00:00 +0000 UTC,16.25,16.36,15.57,16.77,1017,93,1.88,0.895706,100,overcast clouds,2022-05-23,0,0.0,0.502,0.0,None,3
5665,1653267600,2022-05-23 01:00:00 +0000 UTC,16.2,16.3,14.72,16.77,1017,93,2.22,0.895706,98,overcast clouds,2022-05-23,1,0.0,0.442,0.0,None,3
5666,1653271200,2022-05-23 02:00:00 +0000 UTC,15.65,15.7,14.45,15.9,1016,93,1.69,0.895706,88,overcast clouds,2022-05-23,2,0.0,0.451,0.0,None,3
5667,1653274800,2022-05-23 03:00:00 +0000 UTC,15.14,15.14,14.45,15.66,1016,93,1.45,0.895706,97,overcast clouds,2022-05-23,3,0.0,0.341,0.0,None,3
5668,1653278400,2022-05-23 04:00:00 +0000 UTC,14.61,14.58,13.9,15.1,1016,94,1.73,0.895706,98,overcast clouds,2022-05-23,4,0.0,0.282,0.0,None,3
5669,1653282000,2022-05-23 05:00:00 +0000 UTC,14.1,13.99,13.34,15.1,1016,93,1.61,0.895706,98,overcast clouds,2022-05-23,5,0.0,0.272,0.0,None,3
5686,1653343200,2022-05-23 22:00:00 +0000 UTC,13.49,13.09,13.34,14.0,1017,84,2.97,0.895706,9,sky is clear,2022-05-23,22,0.0,0.743,0.0,None,3
5687,1653346800,2022-05-23 23:00:00 +0000 UTC,12.93,12.5,12.72,13.43,1017,85,2.48,0.895706,22,few clouds,2022-05-23,23,0.0,0.661,0.0,None,3
5688,1653350400,2022-05-24 00:00:00 +0000 UTC,12.71,12.28,11.68,13.68,1017,86,2.74,0.895706,19,few clouds,2022-05-24,0,0.0,0.618,0.0,None,3
5689,1653354000,2022-05-24 01:00:00 +0000 UTC,12.33,11.89,11.68,12.37,1017,87,2.19,0.895706,18,few clouds,2022-05-24,1,0.0,0.635,0.0,None,3
5690,1653357600,2022-05-24 02:00:00 +0000 UTC,12.27,11.85,10.72,12.37,1016,88,1.6,0.895706,91,overcast clouds,2022-05-24,2,0.0,0.409,0.0,None,3
5691,1653361200,2022-05-24 03:00:00 +0000 UTC,11.76,11.32,10.72,11.82,1016,89,2.73,0.895706,70,broken clouds,2022-05-24,3,0.0,0.376,0.0,None,3
5692,1653364800,2022-05-24 04:00:00 +0000 UTC,11.2,10.73,9.72,11.77,1016,90,3.23,0.895706,70,broken clouds,2022-05-24,4,0.0,0.377,0.0,None,3
5693,1653368400,2022-05-24 05:00:00 +0000 UTC,11.19,10.71,9.72,11.26,1016,90,2.72,0.895706,100,overcast clouds,2022-05-24,5,0.0,0.367,0.0,None,3
5710,1653429600,2022-05-24 22:00:00 +0000 UTC,13.54,13.14,12.79,13.72,1021,84,3.39,0.895706,95,overcast clouds,2022-05-24,22,0.0,1.147,0.0,None,3
5711,1653433200,2022-05-24 23:00:00 +0000 UTC,13.54,13.22,12.79,13.72,1021,87,3.16,0.895706,84,broken clouds,2022-05-24,23,0.0,0.542,0.0,None,3
5712,1653436800,2022-05-25 00:00:00 +0000 UTC,12.87,12.41,11.72,12.93,1021,84,2.86,0.895706,89,overcast clouds,2022-05-25,0,0.0,0.552,0.0,None,3
5713,1653440400,2022-05-25 01:00:00 +0000 UTC,11.97,11.55,11.72,12.32,1021,89,2.64,0.895706,92,overcast clouds,2022-05-25,1,0.0,0.575,0.0,None,3
5714,1653444000,2022-05-25 02:00:00 +0000 UTC,12.29,11.85,10.72,12.37,1021,87,2.55,0.895706,81,broken clouds,2022-05-25,2,0.0,0.433,0.0,None,3
5715,1653447600,2022-05-25 03:00:00 +0000 UTC,11.25,10.65,10.72,11.77,1021,85,2.39,0.895706,86,overcast clouds,2022-05-25,3,0.0,0.288,0.0,None,3
5716,1653451200,2022-05-25 04:00:00 +0000 UTC,11.82,11.15,11.45,11.82,1022,80,2.19,0.895706,50,scattered clouds,2022-05-25,4,0.0,0.276,0.0,None,3
5717,1653454800,2022-05-25 05:00:00 +0000 UTC,11.8,11.02,10.9,11.82,1022,76,2.05,0.895706,42,scattered clouds,2022-05-25,5,0.0,0.276,0.0,None,3
5734,1653516000,2022-05-25 22:00:00 +0000 UTC,16.21,15.74,14.72,17.88,1024,71,2.85,0.895706,16,few clouds,2022-05-25,22,0.0,0.444,0.0,None,3
5735,1653519600,2022-05-25 23:00:00 +0000 UTC,15.5,15.01,13.72,17.88,1023,73,2.13,0.895706,13,few clouds,2022-05-25,23,0.0,0.421,0.0,None,3
5736,1653523200,2022-05-26 00:00:00 +0000 UTC,16.4,16.05,14.79,17.32,1023,75,2.08,0.895706,0,sky is clear,2022-05-26,0,0.0,0.345,0.0,None,3
5737,1653526800,2022-05-26 01:00:00 +0000 UTC,15.67,15.33,14.23,17.79,1023,78,2.11,0.895706,0,sky is clear,2022-05-26,1,0.0,0.28,0.0,None,3
5738,1653530400,2022-05-26 02:00:00 +0000 UTC,17.15,16.96,13.12,17.72,1023,78,2.37,0.895706,0,sky is clear,2022-05-26,2,0.0,0.269,0.0,None,3
5739,1653534000,2022-05-26 03:00:00 +0000 UTC,16.61,16.34,12.57,17.79,1023,77,2.49,0.895706,0,sky is clear,2022-05-26,3,0.0,0.268,0.0,None,3
5740,1653537600,2022-05-26 04:00:00 +0000 UTC,17.54,17.39,12.01,17.72,1023,78,2.55,0.895706,0,sky is clear,2022-05-26,4,0.0,0.277,0.0,None,3
5741,1653541200,2022-05-26 05:00:00 +0000 UTC,17.54,17.36,12.01,17.72,1023,77,2.57,0.895706,0,sky is clear,2022-05-26,5,0.0,0.274,0.0,None,3
5758,1653602400,2022-05-26 22:00:00 +0000 UTC,20.73,20.82,18.72,23.43,1020,75,2.78,0.895706,19,few clouds,2022-05-26,22,0.0,0.414,0.0,None,3
5759,1653606000,2022-05-26 23:00:00 +0000 UTC,20.53,20.57,18.72,23.34,1020,74,2.59,0.895706,10,sky is clear,2022-05-26,23,0.0,0.408,0.0,None,3
5760,1653609600,2022-05-27 00:00:00 +0000 UTC,22.01,22.15,19.23,22.79,1021,72,2.61,0.895706,10,sky is clear,2022-05-27,0,0.0,0.398,0.0,None,3
5761,1653613200,2022-05-27 01:00:00 +0000 UTC,22.14,22.16,18.12,22.72,1020,67,2.76,0.895706,15,few clouds,2022-05-27,1,0.0,0.345,0.0,None,3
5762,1653616800,2022-05-27 02:00:00 +0000 UTC,18.6,18.08,16.78,22.72,1020,60,2.91,0.895706,14,few clouds,2022-05-27,2,0.0,0.314,0.0,None,3
5763,1653620400,2022-05-27 03:00:00 +0000 UTC,17.73,17.07,15.79,21.72,1020,58,3.07,0.895706,4,sky is clear,2022-05-27,3,0.0,0.293,0.0,None,3
5764,1653624000,2022-05-27 04:00:00 +0000 UTC,17.35,16.63,15.42,22.72,1020,57,3.24,0.895706,4,sky is clear,2022-05-27,4,0.0,0.272,0.0,None,3
5765,1653627600,2022-05-27 05:00:00 +0000 UTC,17.05,16.33,14.79,22.72,1020,58,3.37,0.895706,10,sky is clear,2022-05-27,5,0.0,0.268,0.0,None,3
5782,1653688800,2022-05-27 22:00:00 +0000 UTC,21.06,21.26,17.72,25.01,1015,78,2.72,0.895706,5,sky is clear,2022-05-27,22,0.0,0.486,0.0,None,3
5783,1653692400,2022-05-27 23:00:00 +0000 UTC,21.17,21.35,18.72,24.55,1014,77,2.45,0.895706,2,sky is clear,2022-05-27,23,0.0,1.068,0.0,None,3
5784,1653696000,2022-05-28 00:00:00 +0000 UTC,21.07,21.09,19.72,22.88,1014,71,2.53,0.895706,1,sky is clear,2022-05-28,0,0.0,0.421,0.0,None,3
5785,1653699600,2022-05-28 01:00:00 +0000 UTC,22.9,22.76,22.01,24.45,1014,58,3.11,0.895706,0,sky is clear,2022-05-28,1,0.0,0.419,0.0,None,3
5786,1653703200,2022-05-28 02:00:00 +0000 UTC,24.04,23.65,20.9,24.54,1013,44,3.69,0.895706,0,sky is clear,2022-05-28,2,0.0,0.467,0.0,None,3
5787,1653706800,2022-05-28 03:00:00 +0000 UTC,19.83,18.89,17.76,24.72,1013,39,4.05,0.895706,0,sky is clear,2022-05-28,3,0.0,0.453,0.0,None,3
5788,1653710400,2022-05-28 04:00:00 +0000 UTC,18.9,17.89,16.84,24.72,1013,40,4.1,0.895706,0,sky is clear,2022-05-28,4,0.0,0.451,0.0,None,3
5789,1653714000,2022-05-28 05:00:00 +0000 UTC,18.55,17.56,16.53,19.93,1013,42,4.14,0.895706,0,sky is clear,2022-05-28,5,0.0,0.444,0.0,None,3
5806,1653775200,2022-05-28 22:00:00 +0000 UTC,19.73,19.72,17.72,22.32,1011,75,1.43,0.895706,85,overcast clouds,2022-05-28,22,0.0,0.357,0.0,None,3
5807,1653778800,2022-05-28 23:00:00 +0000 UTC,19.45,19.49,17.72,21.77,1011,78,1.24,0.895706,31,scattered clouds,2022-05-28,23,0.0,0.516,0.0,None,3
5808,1653782400,2022-05-29 00:00:00 +0000 UTC,20.06,19.64,17.72,21.21,1011,58,1.16,0.895706,10,sky is clear,2022-05-29,0,0.0,0.482,0.0,None,3
5809,1653786000,2022-05-29 01:00:00 +0000 UTC,19.46,19.03,16.72,20.1,1010,60,0.96,0.895706,8,sky is clear,2022-05-29,1,0.0,0.511,0.0,None,3
5810,1653789600,2022-05-29 02:00:00 +0000 UTC,18.87,18.43,15.72,19.04,1010,62,1.4,0.895706,27,scattered clouds,2022-05-29,2,0.0,0.481,0.0,None,3
5811,1653793200,2022-05-29 03:00:00 +0000 UTC,18.32,17.96,15.01,18.48,1009,67,1.21,0.895706,26,scattered clouds,2022-05-29,3,0.0,0.42,0.0,None,3
5812,1653796800,2022-05-29 04:00:00 +0000 UTC,16.8,16.44,15.01,17.88,1009,73,0.99,0.895706,34,scattered clouds,2022-05-29,4,0.0,0.439,0.0,None,3
5813,1653800400,2022-05-29 05:00:00 +0000 UTC,16.26,15.95,15.57,17.88,1009,77,1.42,0.895706,47,scattered clouds,2022-05-29,5,0.0,0.346,0.0,None,3
5830,1653861600,2022-05-29 22:00:00 +0000 UTC,17.37,17.09,15.9,18.43,1010,74,1.21,0.895706,91,overcast clouds,2022-05-29,22,0.0,1.145,0.0,None,3
5831,1653865200,2022-05-29 23:00:00 +0000 UTC,17.35,17.1,16.45,17.88,1009,75,1.38,0.895706,98,overcast clouds,2022-05-29,23,0.0,0.942,0.0,None,3
5832,1653868800,2022-05-30 00:00:00 +0000 UTC,16.84,16.59,15.34,17.88,1009,77,1.26,0.895706,97,overcast clouds,2022-05-30,0,0.0,0.399,0.0,None,3
5833,1653872400,2022-05-30 01:00:00 +0000 UTC,16.84,16.62,14.79,17.88,1009,78,0.83,0.895706,91,overcast clouds,2022-05-30,1,0.0,0.447,0.0,None,3
5834,1653876000,2022-05-30 02:00:00 +0000 UTC,16.82,16.62,16.12,17.32,1009,79,0.95,0.895706,99,overcast clouds,2022-05-30,2,0.0,0.365,0.0,None,3
5835,1653879600,2022-05-30 03:00:00 +0000 UTC,16.82,16.59,16.12,17.32,1009,78,0.92,0.895706,99,overcast clouds,2022-05-30,3,0.0,0.321,0.0,None,3
5836,1653883200,2022-05-30 04:00:00 +0000 UTC,16.82,16.59,16.12,17.32,1009,78,1.35,0.895706,96,overcast clouds,2022-05-30,4,0.0,0.277,0.0,None,3
5837,1653886800,2022-05-30 05:00:00 +0000 UTC,16.82,16.65,16.12,17.32,1009,80,1.7,0.895706,99,overcast clouds,2022-05-30,5,0.0,0.258,0.0,None,3
5838,1653890400,2022-05-30 06:00:00 +0000 UTC,16.82,16.7,16.12,16.82,1010,82,2.0,0.895706,99,overcast clouds,2022-05-30,6,0.0,0.358,0.0,None,3
5854,1653948000,2022-05-30 22:00:00 +0000 UTC,17.95,17.86,17.79,18.72,1011,79,1.93,0.895706,82,broken clouds,2022-05-30,22,0.0,0.51,0.0,None,3
5855,1653951600,2022-05-30 23:00:00 +0000 UTC,17.95,17.84,17.79,18.72,1011,78,1.56,0.895706,80,broken clouds,2022-05-30,23,0.0,0.449,0.0,None,3
5856,1653955200,2022-05-31 00:00:00 +0000 UTC,17.17,17.21,15.9,17.88,1011,87,1.56,0.895706,57,broken clouds,2022-05-31,0,0.0,0.445,0.0,None,3
5857,1653958800,2022-05-31 01:00:00 +0000 UTC,17.01,17.06,15.9,17.79,1011,88,1.37,0.895706,67,broken clouds,2022-05-31,1,0.0,0.438,0.0,None,3
5858,1653962400,2022-05-31 02:00:00 +0000 UTC,17.51,17.61,15.34,17.72,1011,88,1.37,0.895706,70,broken clouds,2022-05-31,2,0.0,0.427,0.0,None,3
5859,1653966000,2022-05-31 03:00:00 +0000 UTC,17.51,17.56,15.9,17.72,1011,86,1.3,0.895706,100,overcast clouds,2022-05-31,3,0.0,0.285,0.0,None,3
5860,1653969600,2022-05-31 04:00:00 +0000 UTC,17.51,17.54,15.9,17.72,1011,85,1.32,0.895706,100,overcast clouds,2022-05-31,4,0.0,0.254,0.0,None,3
5861,1653973200,2022-05-31 05:00:00 +0000 UTC,17.31,17.26,15.9,17.72,1011,83,1.39,0.895706,100,overcast clouds,2022-05-31,5,0.0,0.262,0.0,None,3
5862,1653976800,2022-05-31 06:00:00 +0000 UTC,18.39,18.32,15.9,18.48,1011,78,1.67,0.895706,100,overcast clouds,2022-05-31,6,0.0,0.277,0.0,None,3
5878,1654034400,2022-05-31 22:00:00 +0000 UTC,19.08,19.39,18.12,19.72,1013,90,1.06,0.895706,49,scattered clouds,2022-05-31,22,0.0,0.641,0.0,None,3
5879,1654038000,2022-05-31 23:00:00 +0000 UTC,19.03,19.34,18.72,19.04,1012,90,0.98,0.895706,52,broken clouds,2022-05-31,23,0.0,0.666,0.0,None,3
5880,1654041600,2022-06-01 00:00:00 +0000 UTC,19.02,19.28,18.12,19.04,1012,88,1.28,0.895706,60,broken clouds,2022-06-01,0,0.0,0.436,0.0,None,3
5881,1654045200,2022-06-01 01:00:00 +0000 UTC,18.79,19.13,17.57,18.99,1012,92,1.63,0.895706,66,broken clouds,2022-06-01,1,0.0,0.398,0.0,None,3
5882,1654048800,2022-06-01 02:00:00 +0000 UTC,18.49,18.74,17.57,18.72,1011,90,1.79,0.19,81,light rain,2022-06-01,2,0.0,0.366,0.0,None,3
5883,1654052400,2022-06-01 03:00:00 +0000 UTC,17.91,18.08,17.23,17.93,1011,89,1.8,0.5,84,light rain,2022-06-01,3,0.0,0.355,0.0,None,3
5884,1654056000,2022-06-01 04:00:00 +0000 UTC,17.9,18.1,17.01,17.93,1011,90,1.94,0.68,97,light rain,2022-06-01,4,0.0,0.405,0.0,None,3
5885,1654059600,2022-06-01 05:00:00 +0000 UTC,18.36,18.58,16.68,18.48,1011,89,1.92,1.43,99,moderate rain,2022-06-01,5,0.0,0.364,0.0,None,3
5902,1654120800,2022-06-01 22:00:00 +0000 UTC,17.39,17.48,17.23,18.43,1014,88,1.65,0.895706,15,few clouds,2022-06-01,22,0.0,0.414,0.0,None,3
5903,1654124400,2022-06-01 23:00:00 +0000 UTC,17.75,17.98,14.79,17.88,1014,92,2.36,0.895706,19,few clouds,2022-06-01,23,0.0,0.407,0.0,None,3
5904,1654128000,2022-06-02 00:00:00 +0000 UTC,17.51,17.72,14.79,17.72,1013,92,2.6,0.895706,14,few clouds,2022-06-02,0,0.0,0.412,0.0,None,3
5905,1654131600,2022-06-02 01:00:00 +0000 UTC,17.47,17.67,14.23,17.72,1013,92,2.19,0.895706,17,few clouds,2022-06-02,1,0.0,0.373,0.0,None,3
5906,1654135200,2022-06-02 02:00:00 +0000 UTC,16.82,16.7,16.12,16.82,1013,82,2.12,0.895706,34,scattered clouds,2022-06-02,2,0.0,0.281,0.0,None,3
5907,1654138800,2022-06-02 03:00:00 +0000 UTC,16.42,16.55,13.68,16.72,1012,93,1.7,0.16,40,light rain,2022-06-02,3,0.0,0.269,0.0,None,3
5908,1654142400,2022-06-02 04:00:00 +0000 UTC,16.27,16.15,15.57,16.72,1012,84,1.7,0.26,45,light rain,2022-06-02,4,0.0,0.252,0.0,None,3
5909,1654146000,2022-06-02 05:00:00 +0000 UTC,16.24,16.14,15.57,16.26,1013,85,1.8,0.6,81,light rain,2022-06-02,5,0.0,0.305,0.0,None,3
